month,average,onpeak,offpeak
1,962,1617,1520
2,947,1632,1505
3,842,1696,1600
4,937,1692,1537
5,873,1669,1563
6,1047,1604,1381
7,1123,1711,1572
8,1109,1799,1679
9,1047,1817,1618
10,973,1373,1495
11,895,1660,1364
12,1031,1616,1643
