month,average,onpeak,offpeak
1,1.35,2.54,1.88
2,1.18,2.01,1.79
3,0.95,1.4,1.29
4,1.11,2.31,2.01
5,1.05,1.36,1.19
6,1.52,1.8,1.3
7,1.61,2.15,1.83
8,1.58,2.42,2.08
9,1.42,1.71,1.25
10,1.33,1.39,1.56
11,1.21,2.32,1.6
12,1.22,2.32,2.26
