"","Date","Method 1","Method 2","Method 3"
"1",2016-01-01 00:00:00,0.453585482792224,0.678506017,0.43037637779984
"2",2016-01-01 01:00:00,0.69501495863788,0.396051484,0.490514451352458
"3",2016-01-01 02:00:00,0.399035329265877,0.396051484,0.375352155841553
"4",2016-01-01 03:00:00,0.805600369708425,0.382848122,0.372384684634078
"5",2016-01-01 04:00:00,0.805600369708425,0.382848122,0.372384684634078
"6",2016-01-01 05:00:00,0.399035329265877,0.396051484,0.375352155841553
"7",2016-01-01 06:00:00,0.574773682666262,0.361672168,0.382848121859856
"8",2016-01-01 07:00:00,0.828396625423687,0.593367215,0.396051484022829
"9",2016-01-01 08:00:00,0.828396625423687,0.399035329,0.396051484022829
"10",2016-01-01 09:00:00,0.644054485490135,0.375352156,0.657801190614453
"11",2016-01-01 10:00:00,0.539687039831746,0.529682572,0.824066703867075
"12",2016-01-01 11:00:00,0.949858550799343,0.824066704,0.840652770902575
"13",2016-01-01 12:00:00,0.949858550799343,0.824066704,0.840652770902575
"14",2016-01-01 13:00:00,0.949858550799343,0.824066704,0.840652770902575
"15",2016-01-01 14:00:00,0.949858550799343,0.453585483,0.824066703867075
"16",2016-01-01 15:00:00,0.949858550799343,0.5277062,0.824066703867075
"17",2016-01-01 16:00:00,0.516054744771005,0.824066704,0.840652770902575
"18",2016-01-01 17:00:00,0.854842567992948,0.513920032,0.880313314356754
"19",2016-01-01 18:00:00,0.593072068518468,0.850696329,0.878121404535143
"20",2016-01-01 19:00:00,0.593072068518468,0.850696329,0.878121404535143
"21",2016-01-01 20:00:00,0.854842567992948,0.850696329,0.878121404535143
"22",2016-01-01 21:00:00,0.499819453197184,0.875696891,0.880313314356754
"23",2016-01-01 22:00:00,0.382848121859856,0.840652771,0.875696891038187
"24",2016-01-01 23:00:00,0.687435050982233,0.94540559,0.645979688848249
"25",2016-01-02 00:00:00,0.384610003406455,0.581067331,0.678506016896094
"26",2016-01-02 01:00:00,0.828396625423687,0.593367215,0.396051484022829
"27",2016-01-02 02:00:00,0.828396625423687,0.593367215,0.43037637779984
"28",2016-01-02 03:00:00,0.828396625423687,0.593367215,0.43037637779984
"29",2016-01-02 04:00:00,0.828396625423687,0.399035329,0.396051484022829
"30",2016-01-02 05:00:00,0.644054485490135,0.552463498,0.657801190614453
"31",2016-01-02 06:00:00,0.949858550799343,0.824066704,0.840652770902575
"32",2016-01-02 07:00:00,0.844314651230429,0.657801191,0.538834715708206
"33",2016-01-02 08:00:00,0.844314651230429,0.875696891,0.850696328508536
"34",2016-01-02 09:00:00,0.844314651230429,0.875696891,0.850696328508536
"35",2016-01-02 10:00:00,0.844314651230429,0.657801191,0.850696328508536
"36",2016-01-02 11:00:00,0.844314651230429,0.637977395,0.529682571574381
"37",2016-01-02 12:00:00,0.382848121859856,0.824066704,0.875696891038187
"38",2016-01-02 13:00:00,0.949858550799343,0.504932765,0.824066703867075
"39",2016-01-02 14:00:00,0.539687039831746,0.375352156,0.824066703867075
"40",2016-01-02 15:00:00,0.539687039831746,0.375352156,0.657801190614453
"41",2016-01-02 16:00:00,0.949858550799343,0.453585483,0.824066703867075
"42",2016-01-02 17:00:00,0.672625332890051,0.875696891,0.880313314356754
"43",2016-01-02 18:00:00,0.593072068518468,0.850696329,0.878121404535143
"44",2016-01-02 19:00:00,0.593072068518468,0.850696329,0.878121404535143
"45",2016-01-02 20:00:00,0.593072068518468,0.850696329,0.878121404535143
"46",2016-01-02 21:00:00,0.854842567992948,0.695592615,0.880313314356754
"47",2016-01-02 22:00:00,0.844314651230429,0.657801191,0.850696328508536
"48",2016-01-02 23:00:00,0.602748756074176,0.838628059,0.602748756074176
"49",2016-01-03 00:00:00,0.547834134750378,0.375352156,0.657801190614453
"50",2016-01-03 01:00:00,0.535570908456365,0.399035329,0.396051484022829
"51",2016-01-03 02:00:00,0.828396625423687,0.399035329,0.396051484022829
"52",2016-01-03 03:00:00,0.828396625423687,0.399035329,0.396051484022829
"53",2016-01-03 04:00:00,0.535570908456365,0.399035329,0.396051484022829
"54",2016-01-03 05:00:00,0.644054485490135,0.538834716,0.657801190614453
"55",2016-01-03 06:00:00,0.949858550799343,0.453585483,0.824066703867075
"56",2016-01-03 07:00:00,0.382848121859856,0.840652771,0.875696891038187
"57",2016-01-03 08:00:00,0.844314651230429,0.657801191,0.69501495863788
"58",2016-01-03 09:00:00,0.844314651230429,0.840652771,0.529682571574381
"59",2016-01-03 10:00:00,0.382848121859856,0.840652771,0.875696891038187
"60",2016-01-03 11:00:00,0.382848121859856,0.824066704,0.875696891038187
"61",2016-01-03 12:00:00,0.949858550799343,0.824066704,0.840652770902575
"62",2016-01-03 13:00:00,0.949858550799343,0.824066704,0.840652770902575
"63",2016-01-03 14:00:00,0.949858550799343,0.5277062,0.824066703867075
"64",2016-01-03 15:00:00,0.949858550799343,0.824066704,0.840652770902575
"65",2016-01-03 16:00:00,0.382848121859856,0.840652771,0.875696891038187
"66",2016-01-03 17:00:00,0.850696328508536,0.880313314,0.504932765297326
"67",2016-01-03 18:00:00,0.869586854446355,0.878121405,0.828396625423687
"68",2016-01-03 19:00:00,0.869586854446355,0.794286711,0.535570908456365
"69",2016-01-03 20:00:00,0.869586854446355,0.878121405,0.828396625423687
"70",2016-01-03 21:00:00,0.838628059148725,0.880313314,0.878121404535143
"71",2016-01-03 22:00:00,0.672625332890051,0.875696891,0.880313314356754
"72",2016-01-03 23:00:00,0.54930061514232,0.95996672,0.838628059148725
"73",2016-01-04 00:00:00,0.949858550799343,0.874387102,0.840652770902575
